dataset_id,split,engine_id,cycle,anomaly_score,anomaly_raw
DS06,train,1,1,3.1029948222016657e-07,27.107263699742795
DS06,train,1,2,4.779583230862805e-06,30.663335036077832
DS06,train,1,3,1.0428082483637802e-05,31.819975408671137
DS06,train,1,4,0.017580587754654653,49.05799157258514
DS06,train,1,5,2.186509191481889e-05,32.98843081076494
DS06,train,1,6,6.475542324579919e-11,19.299816150543865
DS06,train,1,7,5.329070518200751e-15,13.811267286409263
DS06,train,1,8,6.085267498789904e-07,27.91957989891127
DS06,train,1,9,3.740785448069772e-08,24.77874374231952
DS06,train,1,10,4.562626865212138e-08,24.984233340111444
DS06,train,1,11,4.449218771185315e-11,19.03101765424733
DS06,train,1,12,3.643586565793555e-08,24.751692529924238
DS06,train,1,13,4.6407322429331543e-14,14.874021570310383
DS06,train,1,14,2.6272555052164748e-05,33.28985246828827
DS06,train,1,15,5.620095539526915e-05,34.59179399969842
DS06,train,1,16,1.1523773278954152e-05,31.97345079702955
DS06,train,1,17,2.2953519899227004e-05,33.06770344978406
DS06,train,1,18,1.124322857037896e-11,18.087434579003656
DS06,train,1,19,0.0010154280444431008,40.5563914630341
DS06,train,1,20,1.4039877149762958e-08,23.800460735374454
DS06,train,1,21,6.222227377339351e-06,31.046360392707676
DS06,train,1,22,3.4003995856846103e-06,30.18047751523858
DS06,train,1,23,0.005801502747366127,45.29581077991844
DS06,train,1,24,8.347468865022023e-07,28.314103719751248
DS06,train,1,25,2.865881736369147e-06,29.942660997215896
DS06,train,1,26,2.7152280424047603e-11,18.68488846811136
DS06,train,1,27,3.6346666787423487e-09,22.541142469164342
DS06,train,1,28,2.9299446529962303e-05,33.47114645061901
DS06,train,1,29,1.5940802011726873e-09,21.819366938397813
DS06,train,1,30,1.4524158498119277e-07,26.234843450723858
DS06,train,1,31,5.652500689734552e-11,19.201873176223806
DS06,train,1,32,3.7302686406448515e-06,30.31053397654972
DS06,train,1,33,5.843058259458189e-10,20.983583910717293
DS06,train,1,34,0.6640682199272457,76.51027895834693
