dataset_id,split,engine_id,cycle,anomaly_score
FD003,train,1,1,0.3603057272753398
FD003,train,1,2,0.33859047434662626
FD003,train,1,3,0.3376112658086512
FD003,train,1,4,0.3626081701721585
FD003,train,1,5,0.363441257495273
FD003,train,1,6,0.3602165751778633
FD003,train,1,7,0.36701490113102747
FD003,train,1,8,0.37514843330134895
FD003,train,1,9,0.36348979786151964
FD003,train,1,10,0.35327757881693833
FD003,train,1,11,0.3498728993061796
FD003,train,1,12,0.3494997231916998
FD003,train,1,13,0.3362554864013686
FD003,train,1,14,0.3320773212106377
FD003,train,1,15,0.34183183785473775
FD003,train,1,16,0.3439976905409211
FD003,train,1,17,0.36987729955611764
FD003,train,1,18,0.38563587067063243
FD003,train,1,19,0.37661583245865704
FD003,train,1,20,0.3833271708517906
FD003,train,1,21,0.38938200507112386
FD003,train,1,22,0.35760491967907837
FD003,train,1,23,0.34248149146205586
FD003,train,1,24,0.35123006916293714
FD003,train,1,25,0.35326976119388176
FD003,train,1,26,0.3362117475279437
FD003,train,1,27,0.3382641879346205
FD003,train,1,28,0.35986234701374303
FD003,train,1,29,0.3613162423327531
FD003,train,1,30,0.3506568779615483
FD003,train,1,31,0.37604247449347433
FD003,train,1,32,0.3841557524655294
FD003,train,1,33,0.37648271515344306
FD003,train,1,34,0.3777516008586096
FD003,train,1,35,0.40116110678869255
FD003,train,1,36,0.3922789373899975
FD003,train,1,37,0.40609866148958157
FD003,train,1,38,0.4017532419402515
FD003,train,1,39,0.4023056957740739
FD003,train,1,40,0.3812560315604954
FD003,train,1,41,0.3825457915317476
FD003,train,1,42,0.35577882867364385
FD003,train,1,43,0.3622705097888881
FD003,train,1,44,0.4044222876921709
FD003,train,1,45,0.4118718909289609
FD003,train,1,46,0.41014908108679043
FD003,train,1,47,0.434132207525329
FD003,train,1,48,0.4330485477152825
FD003,train,1,49,0.39078289565397406
FD003,train,1,50,0.375665207216002
FD003,train,1,51,0.3768872866561341
FD003,train,1,52,0.37642209635701884
FD003,train,1,53,0.38127932772926776
FD003,train,1,54,0.3714285275105187
FD003,train,1,55,0.3601290084662208
FD003,train,1,56,0.3694935118472804
FD003,train,1,57,0.3464618227848903
FD003,train,1,58,0.3482624339431802
FD003,train,1,59,0.3640754790441204
FD003,train,1,60,0.386234550334546
FD003,train,1,61,0.37727406766713006
FD003,train,1,62,0.3927214956286059
FD003,train,1,63,0.37469452970960626
FD003,train,1,64,0.36373857790247993
FD003,train,1,65,0.3637039055802537
FD003,train,1,66,0.3699549616191432
FD003,train,1,67,0.3778798813937943
FD003,train,1,68,0.38999287599500077
FD003,train,1,69,0.4078589093489297
FD003,train,1,70,0.40770246757832657
FD003,train,1,71,0.39496855626916594
FD003,train,1,72,0.3880389215586706
FD003,train,1,73,0.3949913423050847
FD003,train,1,74,0.371859020964473
FD003,train,1,75,0.3654913239685548
FD003,train,1,76,0.37840000960117437
FD003,train,1,77,0.3749169972258404
FD003,train,1,78,0.374784059657271
FD003,train,1,79,0.3726123772789413
FD003,train,1,80,0.3799839050522268
FD003,train,1,81,0.3938815238483169
FD003,train,1,82,0.39074411139951326
FD003,train,1,83,0.3858246042320236
FD003,train,1,84,0.39657634907059364
FD003,train,1,85,0.41749458107632875
FD003,train,1,86,0.4024897942081579
FD003,train,1,87,0.4200516197223714
FD003,train,1,88,0.41821821330028125
FD003,train,1,89,0.4399656882354293
FD003,train,1,90,0.4132152463428639
FD003,train,1,91,0.4281453748873133
FD003,train,1,92,0.4250389293646422
FD003,train,1,93,0.42902069191706493
FD003,train,1,94,0.4150299261354031
FD003,train,1,95,0.422454270409117
FD003,train,1,96,0.4103787476019726
FD003,train,1,97,0.41426201512964844
FD003,train,1,98,0.4158442076591597
FD003,train,1,99,0.42090501086282545
FD003,train,1,100,0.424834986641948
