dataset_id,split,engine_id,cycle,rul_pred,anomaly_score,decision_label,reason_codes,reason_text,theta_rul_used,alpha_anomaly_used
FD003,test,1,1,124.89662120547746,0.327999047292944,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,2,124.80719615003484,0.3294844503011421,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,3,124.84328600388685,0.3257202500086129,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,4,125.0,0.3273313559153481,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,5,124.68445919945434,0.3402575229864448,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,6,124.68261287660944,0.3433566409035924,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,7,125.0,0.3428636045964617,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,8,124.88419325018452,0.335014988338932,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,9,125.0,0.3383592443067372,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,10,125.0,0.3505464860258683,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,11,124.8509980411886,0.3673164125434741,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,12,125.0,0.379481949506106,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,13,124.74312873435088,0.3812891315801167,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,14,125.0,0.3738220863159382,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,15,124.8038757844945,0.3608925101954519,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,16,124.9610751136784,0.3657120562487379,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,17,125.0,0.3551939218718792,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,18,124.9161348621009,0.3648194301186089,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,19,124.99781739186672,0.3870591417899484,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,20,124.17315164734391,0.3849513201021339,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,21,124.89299335124905,0.3533261027475964,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,22,124.80700811163834,0.3654316844888066,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,23,125.0,0.3695325845555301,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,24,125.0,0.3538207780543491,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,25,124.74732015508002,0.3481007021020602,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,26,125.0,0.3608715524122244,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,27,125.0,0.357712299558064,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,28,125.0,0.3652602782086232,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,29,124.86791753338596,0.3594451943319784,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,30,124.75410942992698,0.3744139151590671,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,31,124.88783550974952,0.3884461884435558,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,32,124.43832870087924,0.3756648623046457,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,33,124.72165694985034,0.3684090364162179,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,34,124.610839970517,0.3891914194883113,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,35,124.9745235246609,0.3984874366861214,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
FD003,test,1,36,124.35855419748697,0.3931989616298914,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,50.0,0.4217709250924709
