dataset_id,split,engine_id,cycle,anomaly_score,anomaly_raw
DS02,train,2,1,1.131872373605347e-12,16.644864364165628
DS02,train,2,2,1.2724887364923276e-06,28.85430656855513
DS02,train,2,3,0.06649956328543627,54.87440135347447
DS02,train,2,4,4.226397010143046e-12,17.453525341629984
DS02,train,2,5,1.2863821119424301e-11,18.177030682326347
DS02,train,2,6,3.1422819901649746e-10,20.48909742254258
DS02,train,2,7,7.146648295375257e-08,25.45801567914414
DS02,train,2,8,0.0003290698600240116,38.01129589196998
DS02,train,2,9,3.137879456271975e-08,24.598988060068102
DS02,train,2,10,8.6241139962695e-07,28.355301115114763
DS02,train,2,11,2.721949832196202e-08,24.454956342245445
DS02,train,2,12,1.1102230246251565e-16,12.108095071085803
DS02,train,2,13,0.00011351697368700009,35.88014655220994
DS02,train,2,14,3.066980003296749e-11,18.76948162674776
DS02,train,2,15,0.0001432371902938545,36.32610499499373
DS02,train,2,16,3.0985658483473344e-11,18.776620639992363
DS02,train,2,17,0.09031087835275786,56.52632197961486
DS02,train,2,18,2.6683368603563906e-06,29.84425472543488
DS02,train,2,19,4.9960036108132044e-15,13.780229967974677
DS02,train,2,20,1.0881845424748349e-08,23.555367924344356
DS02,train,2,21,1.6499542843106951e-09,21.84887721925152
DS02,train,2,22,5.155771011788879e-06,30.772537113487882
DS02,train,2,23,2.0408954753969866e-06,29.47958514986058
DS02,train,2,24,0.0010165183703200187,40.558981449179655
DS02,train,2,25,2.907693530396216e-09,22.34242195084693
DS02,train,2,26,5.876410469340954e-13,16.260448791621954
DS02,train,2,27,9.72180030922587e-07,28.507511522042186
DS02,train,2,28,4.707678691318051e-12,17.521957593237403
DS02,train,2,29,3.963542827278843e-10,20.67229063019799
DS02,train,2,30,2.751364435171766e-07,26.966087026353478
DS02,train,2,31,5.712387587064605e-06,30.921345183423796
DS02,train,2,32,8.06091859928415e-11,19.45902490881919
DS02,train,2,33,1.6364243293764957e-11,18.338633684094155
DS02,train,2,34,7.105427357601002e-15,13.946643618656944
DS02,train,2,35,1.8272806601160596e-09,21.936650103074204
DS02,train,2,36,1.199040866595169e-14,14.193452349281126
DS02,train,2,37,1.454392162258955e-14,14.291304978921158
DS02,train,2,38,9.917688892358001e-11,19.61136101271198
DS02,train,2,39,2.4176766310834985e-05,33.15279826385566
DS02,train,2,40,1.975242192031601e-11,18.46630840128442
DS02,train,2,41,1.297637868558077e-05,32.15747720446507
DS02,train,2,42,9.162946821295037e-07,28.432134876157534
DS02,train,2,43,1.7090276527298442e-08,23.99212332737791
DS02,train,2,44,8.08574381205851e-05,35.24757418591602
DS02,train,2,45,0.18573254428287167,61.193000409706784
DS02,train,2,46,4.881650639276813e-13,16.153760226529943
DS02,train,2,47,0.0007372428575377343,39.79875273138547
DS02,train,2,48,2.8310687127941492e-14,14.620711096071414
DS02,train,2,49,0.10845151990099122,57.59465660089442
DS02,train,2,50,4.892766033437468e-07,27.65238186421672
DS02,train,2,51,5.218048215738236e-15,13.791846899329414
DS02,train,2,52,1.1709890235245268e-06,28.74649701613107
DS02,train,2,53,0.025369234024535392,50.48719568810844
DS02,train,2,54,1.1113294609010893e-06,28.67900857661043
DS02,train,2,55,5.440448824778343e-07,27.781858507816548
DS02,train,2,56,4.619415960860351e-12,17.509918871342915
DS02,train,2,57,1.9614587731808797e-10,20.124067745193436
DS02,train,2,58,1.3761113499710653e-05,32.24916824133428
DS02,train,2,59,1.971933727418218e-11,18.465164607663535
DS02,train,2,60,4.180084944849227e-09,22.666931038470675
DS02,train,2,61,6.822427116581764e-06,31.181975897469528
DS02,train,2,62,0.0017885934562971162,41.972882395462314
DS02,train,2,63,3.372212672936303e-05,33.70747718887327
DS02,train,2,64,5.66903037235722e-06,30.910244799845415
DS02,train,2,65,1.0518530491054889e-10,19.654878484007874
DS02,train,2,66,2.161129849520549e-07,26.686062288792957
DS02,train,2,67,0.000903044612108217,40.275376919300705
DS02,train,2,68,8.242722626672361e-08,25.611493203212746
DS02,train,2,69,2.3810209359709233e-10,20.2731273585709
DS02,train,2,70,3.2153657514299994e-10,20.50713780238533
DS02,train,2,71,2.0275507564671003e-05,32.865924980584445
DS02,train,2,72,0.0051755521877775434,44.94722740160772
DS02,train,2,73,8.844965093901536e-06,31.569773996020274
DS02,train,2,74,1.9559376340794188e-10,20.121911259651117
DS02,train,2,75,0.17830212595689743,60.890704295606255
DS02,train,5,1,9.644507414918735e-13,16.549870340899716
DS02,train,5,2,5.082238185849519e-09,22.84443396348884
DS02,train,5,3,1.0261342527906336e-06,28.576558949535723
DS02,train,5,4,1.32971411659355e-12,16.741075557308484
DS02,train,5,5,6.104006189389111e-13,16.282353625266254
DS02,train,5,6,1.4476531084994804e-11,18.256094332738485
DS02,train,5,7,2.3596616221754907e-05,33.11294268808277
DS02,train,5,8,1.0113687665125326e-11,18.01739859623614
DS02,train,5,9,1.1102230246251565e-16,12.07416272561731
DS02,train,5,10,1.4708678719443924e-11,18.266783299322654
DS02,train,5,11,9.533730613520142e-06,31.683304722639505
DS02,train,5,12,3.203259979933648e-06,30.09707250444335
DS02,train,5,13,1.205275242610604e-06,28.783852378053524
DS02,train,5,14,0.0008712801869019682,40.19038892415314
DS02,train,5,15,8.881784197001252e-16,13.00415964581477
DS02,train,5,16,2.6744426673275257e-09,22.268600287135932
DS02,train,5,17,4.292406623263023e-05,34.12007918717571
DS02,train,5,18,6.075140390748857e-13,16.27962671445581
DS02,train,5,19,1.2156642359428815e-10,19.76252390173843
DS02,train,5,20,1.2401191185062999e-12,16.699333953300563
DS02,train,5,21,0.02660173730318338,50.68031271418971
DS02,train,5,22,7.016609515630989e-14,15.089288095869948
DS02,train,5,23,1.1633085605922133e-09,21.552092065772257
DS02,train,5,24,5.468228092553318e-10,20.92995071168079
DS02,train,5,25,2.4393482395357324e-05,33.16746269859706
DS02,train,5,26,4.653832874623731e-12,17.51463911634186
DS02,train,5,27,2.0136525780145575e-10,20.144174674812863
DS02,train,5,28,0.0,11.57400820299982
DS02,train,5,29,2.8652271133244867e-05,33.43386921354404
DS02,train,5,30,1.141353678235646e-11,18.097412598485434
DS02,train,5,31,4.7360890222947205e-05,34.29089603655825
DS02,train,5,32,6.494804694057166e-14,15.04869726774466
DS02,train,5,33,3.5463482473963026e-06,30.23939560851134
DS02,train,5,34,0.12386257813351031,58.41407470483954
DS02,train,5,35,4.356639449853983e-05,34.14577508884635
DS02,train,5,36,2.14102122353399e-06,29.54420324722933
DS02,train,5,37,0.00042674526270114477,38.56947891260526
DS02,train,5,38,9.085329155666955e-10,21.345568810869963
