engine_id,cycle,rul_pred,anomaly_score,decision_label,reason_codes,reason_text,theta_rul_used,alpha_anomaly_used
1,1,61.765335,1.760795629301981e-07,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,2,68.267265,1.3127235906740252e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,3,54.17667,1.744923841406898e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,4,62.498466,0.053747106045845,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,5,66.83648,4.5281816494990856e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,6,62.30867,4.9392934187153514e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,7,68.297,5.551115123125783e-15,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,8,63.804684,5.029906576803356e-07,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,9,66.06145,7.584412331507195e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,10,64.34923,4.7734869501603334e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,11,56.058754,8.236744619694035e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,12,64.26382,5.2701321640036276e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,13,62.639225,1.8984813721090177e-14,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,14,58.242905,5.95759621175862e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,15,62.899223,6.0520359509874666e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,16,60.714256,1.265242989678672e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,17,61.90297,4.1580279843245194e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,18,56.715683,3.746558618900053e-12,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,19,53.251675,0.0013627420975778,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,20,43.37753,3.226555267410447e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,21,52.74574,3.7147616903654423e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,22,60.523052,1.7870758723947944e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,23,57.395317,0.009097539394972,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,24,60.09027,9.789996091580375e-07,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,25,46.762505,5.419565635600421e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,26,57.92283,3.8825276327258955e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,27,54.051975,9.47091360892216e-09,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,28,51.363842,4.983204104069827e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,29,51.852398,3.2454329224052e-09,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,30,51.431286,4.023290732790841e-07,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,31,52.939938,1.1617518058670839e-10,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,32,46.82468,4.918145120713646e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,33,52.591106,1.3885482763598134e-09,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,34,50.551445,0.7410492276648051,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,35,44.804768,8.770761894538737e-15,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,36,44.18709,0.0004397182688148,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,37,54.385654,8.167562076666357e-07,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,38,47.679028,1.1106082632883483e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,39,47.214027,7.433809345869235e-09,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,40,42.31628,2.396602506671286e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,41,38.628014,1.2589298804877023e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,42,40.563675,0.0049331836390288,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,43,40.299126,1.2423118089799343e-10,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,44,40.833405,2.0486945473408018e-12,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,45,34.846325,4.734813996432053e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,46,38.866306,7.567020977927719e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,47,44.496445,5.144549741764593e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,48,36.42011,0.0002283439727926,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,49,29.567404,7.475464691708567e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,50,31.829578,0.0029928902225669,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,51,29.157457,0.0138431112881725,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,52,29.462292,5.193218077792493e-10,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,53,25.798786,4.604605585711852e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,54,29.556917,0.6337600565034066,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,55,25.427279,3.914590873677071e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,56,24.540276,9.684808510712628e-12,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,57,22.532114,5.0107810370625394e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,58,22.852943,1.0401013383898317e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,59,19.554516,6.2921863275278164e-09,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,60,20.43049,0.0025209837698397,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,61,17.685894,1.118695438506734e-07,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,62,16.987343,0.0006918706989181,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,63,18.54184,1.4190226771404468e-10,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,64,15.821908,0.0004730376089191,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,65,15.062056,1.4895260358471774e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,66,13.292186,0.0019662523007641,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,67,14.168767,5.995592911034463e-10,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,68,12.428671,1.3614998017885682e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,69,9.528171,2.3040779237870623e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,70,10.413851,1.461053500406706e-13,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,71,8.088015,0.0001670489184173,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,72,7.509507,6.621635135983794e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,73,7.8936076,7.989857753187836e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,74,6.0791554,3.418066318872093e-07,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,75,4.6884375,0.0006178792896233,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,76,3.3143353,1.8168365433002265e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,77,2.9729555,8.97179629475442e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,78,2.1161265,0.0023676493304618,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,79,1.9530029,0.000411357955216,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
1,80,1.4087301,0.0021194345311659,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
2,1,54.263264,1.8800029943921712e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
2,2,52.195187,0.0208541800050535,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
2,3,55.74994,2.694899370325743e-07,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
2,4,64.669785,4.2529885223796526e-05,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,1.0723935599999999,0.8781982796558566
