dataset_id,split,engine_id,cycle,rul_pred,anomaly_score_raw,anomaly_score_smoothed,anomaly_state,decision_label,reason_codes,theta_rul_used,alpha_high_used,alpha_low_used,model_risk,policy_risk,trend_risk,volatility_risk,hybrid_risk,hybrid_state,hybrid_alarm_active,critical_proxy,missed_alarm_proxy,early_alarm_proxy,dominant_driver,expected_failure_stage,policy_version,run_id
DS02,test,11,1,50.25087,3.347455646007802e-11,3.347455646007802e-11,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.0,0.0,0.037500000000000006,normal,False,False,False,False,policy,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,2,44.625202,7.213944659412164e-07,1.8037372240264918e-07,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.0,0.0,0.037500000000000006,normal,False,False,False,False,policy,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,3,49.259987,0.0001165778039696,2.927973128420199e-05,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.3302943333333322,0.3004141200081681,0.13360027866748328,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,4,43.37997,2.103092013205909e-06,2.2485571466452968e-05,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,1.0,0.338529416198261,0.27135294161982615,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,5,41.811863,9.78702298330969e-05,4.133173605811395e-05,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,1.0,0.37059405182788013,0.27455940518278804,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,6,47.556282,0.0517404475027122,0.0129661106777216,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.44909799999999933,0.3715159463966461,0.1644711946396645,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,7,44.703434,7.503508925310598e-11,0.00972458302705,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.7924908571428568,0.34880555849501516,0.23087872727807293,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,8,45.161407,0.0013345820960835,0.0076270827943083,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.6361828750000003,0.3256444617384778,0.19730102117384787,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,9,53.073124,1.1898154611000857e-05,0.005723286634384,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.0,0.3960216018002218,0.0771021601800222,normal,False,False,False,False,uncertainty,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,10,56.095978,0.0,0.004292464975788,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.0,0.48520708433228416,0.08602070843322843,normal,False,False,False,False,uncertainty,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,11,40.445667,9.052442354884338e-05,0.0032419798377282,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.8913820909090908,0.5111241616123462,0.2668888343430528,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
DS02,test,11,12,51.57799,4.952280230341445e-08,0.0024314972589967,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.9687941194760932,0.8719147075284838,0.0,0.15,0.0,0.5065465284254694,0.08815465284254695,normal,False,False,False,False,uncertainty,Stable Monitoring,v2,ds-20260211T154144Z-814aa2e321
