dataset_id,split,engine_id,cycle,rul_pred,anomaly_score_raw,anomaly_score_smoothed,anomaly_state,decision_label,reason_codes,theta_rul_used,alpha_high_used,alpha_low_used,model_risk,policy_risk,trend_risk,volatility_risk,hybrid_risk,hybrid_state,hybrid_alarm_active,critical_proxy,missed_alarm_proxy,early_alarm_proxy,dominant_driver,expected_failure_stage,policy_version,run_id
DS03,test,10,1,70.02572,6.7951150262146614e-09,6.7951150262146614e-09,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,0.0,0.0,0.037500000000000006,normal,False,False,False,False,policy,Stable Monitoring,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,2,62.962944,0.0074476112312878,0.0018619079041582,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,0.0,0.0,0.037500000000000006,normal,False,False,False,False,policy,Stable Monitoring,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,3,61.781757,0.0004863515301986,0.0015180188106683,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,0.45198898790071956,0.28269889879007204,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,4,62.660385,2.5992348059444836e-06,0.0011391639167027,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,0.3862302644032645,0.2761230264403265,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,5,62.98548,1.2938968896314408e-08,0.0008543761722692,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,0.340208110886723,0.2715208110886723,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,6,60.951843,0.0023336075437905,0.0012241840151495,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,0.33038707601407863,0.2705387076014079,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,7,59.984253,1.073384036665015e-05,0.0009208214714538,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,0.33086539873862153,0.2705865398738622,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,8,54.28025,0.003855996357916,0.0016546151930693,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,0.43711345048485606,0.28121134504848566,normal,False,False,False,False,physics,Stable Monitoring,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,9,51.633255,0.9999859907991482,0.251237459094589,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.13312672999781258,0.15,1.0,1.0,0.3974070284990157,normal,False,False,False,False,physics,Threshold Volatility,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,10,50.86683,0.0143832616694687,0.1920239097383089,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,1.0,0.3375000000000001,normal,False,False,False,False,physics,Threshold Volatility,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,11,54.12924,0.0059945777757662,0.1455165767476732,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,1.0,0.3375000000000001,normal,False,False,False,False,physics,Threshold Volatility,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,12,53.701702,0.0014253307272711,0.1094937652425727,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,1.0,0.3375000000000001,normal,False,False,False,False,physics,Threshold Volatility,v2,ds-20260309T120005Z-814aa2e321
DS03,test,10,13,56.524082,2.4806866327997668e-05,0.0821265256485115,OFF,Normal Operation,RUL_HIGH|ANOM_OFF,30.0,0.2691978893464848,0.2422781004118364,0.0,0.15,1.0,1.0,0.3375000000000001,normal,False,False,False,False,physics,Threshold Volatility,v2,ds-20260309T120005Z-814aa2e321
